"cat_no","context","figure_num","gender","descriptor_text","n_descriptors","n_in_dict","coverage_pct","dirmean_Warmth","dirmean_Competence","dirmean_Sociability","dirmean_Morality","dirmean_Ability","dirmean_Assertiveness","dirmean_Status","dirmean_Beliefs","dirmean_health","dirmean_deviance","dirmean_beauty","dirmean_Politics","dirmean_Religion","n_dirmean_Warmth","n_dirmean_Competence","n_dirmean_Sociability","n_dirmean_Morality","n_dirmean_Ability","n_dirmean_Assertiveness","n_dirmean_Status","n_dirmean_Beliefs","n_dirmean_health","n_dirmean_deviance","n_dirmean_beauty","n_dirmean_Politics","n_dirmean_Religion","asymmetry"
"P000129","religious",3,"Male","The third male figure is positioned to the left side of the painting. His head is slightly tilted, and he looks downward with a thoughtful expression. His posture is relaxed, and he does not seem to be actively engaging with the central figure. This figure appears passive and reflective.",18,12,66.6666666666667,0.666666666666667,0.125,1,0,0.75,-0.5,1,NA,NA,NA,NA,NA,NA,3,4,2,1,2,2,1,0,0,0,0,0,0,0.541666666666667
"P000082","religious",1,"Male","The male figure is reclining on a rock, his body partially draped with a flowing cloth that covers his lower torso. His head rests on one hand, while the other hand holds a small object, possibly a piece of paper or a scroll. He gazes off to the side with a contemplative and somewhat melancholic expression. The figure appears passive and reflective, suggesting a moment of introspection or rest.",30,13,43.3333333333333,-1,0.333333333333333,-1,NA,1,-1,0,NA,-1,NA,NA,NA,NA,1,3,1,0,2,1,1,0,1,0,0,0,0,-1.33333333333333
"P002643","religious",1,"Female","The woman is seated with her legs crossed, holding the baby close to her chest. Her gaze is directed downward, and her facial expression appears serene and gentle. She appears nurturing and dominant over the child, as she holds him securely.",21,11,52.3809523809524,0.5,1,0.5,NA,NA,1,1,-0.5,NA,-1,NA,-0.5,NA,4,1,4,0,0,1,1,1,0,1,0,1,0,-0.5
"P002643","religious",2,"Male","The baby is held close to the woman's chest, looking down at his feet. His posture is relaxed, and he appears passive and dependent on the woman for care.",12,9,75,0.333333333333333,-0.375,0.5,0.5,0.5,-0.666666666666667,NA,-0.5,NA,-1,NA,-0.5,NA,3,4,2,2,1,3,0,1,0,1,0,1,0,0.708333333333333
"P003122","religious",1,"Male","The male figure is seated with his head bowed slightly downward, his hands resting on his knees. His gaze is directed downward, and his facial expression appears contemplative and serene. He seems to be in a state of deep thought or prayer, suggesting a submissive and passive demeanor.",22,11,50,0,0,0,NA,1,-1,NA,1,NA,NA,NA,NA,1,1,4,1,0,2,2,0,1,0,0,0,0,1,0
"P003122","religious",2,"Female","The female figure, an angel, is positioned behind the male figure. She has her wings spread wide, and her gaze is directed downward towards the male figure. Her facial expression is gentle and nurturing, with a slight smile. The angel's posture suggests she is dominant yet protective, providing a sense of comfort and guidance to the male figure.",25,17,68,0.714285714285714,0.875,0.833333333333333,0.5,0.833333333333333,1,1,1,NA,NA,NA,NA,1,7,4,6,2,3,1,2,1,0,0,0,0,1,-0.160714285714286
"P001093","religious",1,"Male","The figure is depicted in profile, facing to the right. They are wearing a loose, flowing robe that drapes over their shoulders and chest. The individual's head is slightly tilted downward, and their gaze is directed downwards towards their hand, which holds a small object. Their facial expression appears contemplative and focused, with a hint of seriousness. The posture suggests a sense of introspection or concentration, and the overall impression is one of quiet authority and dominance.",36,20,55.5555555555556,-0.25,0.722222222222222,0,-0.5,0.9,0.6,0.833333333333333,NA,-1,NA,NA,NA,NA,4,9,2,2,5,5,3,0,1,0,0,0,0,-0.972222222222222
"P003345","religious",1,"Male","The man is kneeling with his head bowed, hands clasped together in prayer. His gaze is directed downward, and his facial expression appears serene and contemplative. He appears submissive and passive.",16,8,50,0,-1,0,NA,NA,-1,NA,1,NA,NA,NA,NA,1,1,2,1,0,0,2,0,1,0,0,0,0,1,1
"P003345","religious",2,"Female","The woman stands beside the kneeling man, her hand gently placed on his shoulder. She is barefoot, wearing a flowing yellow dress with a blue undergarment. Her gaze is directed towards the man, and her facial expression is calm and gentle. She appears nurturing and authoritative.",22,13,59.0909090909091,1,0.5,1,NA,1,0,1,NA,-1,NA,NA,NA,NA,2,2,2,0,1,1,1,0,2,0,0,0,0,0.5
"P003345","religious",3,"Male","The man is standing upright, leaning slightly forward with one hand resting on the shoulder of the kneeling man. His gaze is directed towards the kneeling man, and his facial expression is serious and focused. He appears dominant and active.",15,8,53.3333333333333,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,4,0,1,2,3,1,0,0,0,0,0,0,0
"P003345","religious",4,"Female","The angel is depicted with wings spread wide, hovering above the scene. The angel's gaze is directed towards the kneeling man, and her facial expression is serene and benevolent. She appears nurturing and authoritative.",17,9,52.9411764705882,0.5,NA,0.333333333333333,1,NA,NA,1,1,NA,NA,NA,NA,1,4,0,3,2,0,0,1,1,0,0,0,0,1,NA
"P003345","religious",5,"Male","The man is seated on the ground, with his hands raised in a gesture of prayer or supplication. His gaze is directed upwards, and his facial expression is one of reverence and devotion. He appears submissive and passive.",16,7,43.75,0.5,-1,0.5,NA,NA,-1,NA,1,NA,NA,NA,NA,1,2,2,2,0,0,2,0,1,0,0,0,0,1,1.5
"P003345","religious",6,"Male","The man is seated on the ground, with his hands resting on his knees. His gaze is directed downwards, and his facial expression is one of contemplation and peace. He appears passive and reflective.",14,6,42.8571428571429,NA,0,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,2,0,0,0,0,0,0,0,NA
"P003345","religious",7,"Male","The man is seated on the ground, with his hands resting on his knees. His gaze is directed downwards, and his facial expression is one of contemplation and peace. He appears passive and reflective.",14,6,42.8571428571429,NA,0,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,2,0,0,0,0,0,0,0,NA
"P005701","religious",1,"Female","The woman is seated in a chair with her hands raised in a gesture of greeting or blessing. She looks directly at the child, her expression gentle and serene, suggesting a nurturing and authoritative presence.",16,9,56.25,0.666666666666667,NA,0.666666666666667,NA,NA,NA,1,1,NA,NA,NA,NA,1,3,0,3,0,0,0,2,1,0,0,0,0,1,NA
"P005701","religious",2,"Female","The woman stands to the left, facing away from the central scene. Her posture is upright, and she appears to be observing the interaction between the seated woman and the child. Her expression is neutral, and she seems passive in this moment.",17,10,58.8235294117647,0.333333333333333,-0.25,0,0.5,0.5,-1,0.5,NA,NA,NA,NA,NA,NA,3,2,1,2,1,1,2,0,0,0,0,0,0,0.583333333333333
"P005701","religious",3,"Female","The woman is kneeling before the seated woman, holding the child's hand. She is dressed in a vibrant yellow gown and has a red and white striped sleeve. Her gaze is directed towards the child, and her posture suggests she is actively engaged in the interaction, possibly offering support or comfort.",24,13,54.1666666666667,0.5,0.75,0.666666666666667,0.5,0.75,NA,1,NA,-1,NA,NA,NA,NA,4,2,3,2,2,0,1,0,1,0,0,0,0,-0.25
"P005701","religious",4,"Male","The man stands to the right of the seated woman, raising his hand as if to speak or gesture. He wears a dark outfit with a high collar and appears to be addressing the group, indicating an active role in the scene.",17,8,47.0588235294118,-0.5,1,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,0,0,0,0,0,0,0,-1.5
"P005701","religious",5,"Male","The man is partially obscured by the woman in the green dress but appears to be standing close to her. His posture is relaxed, and he seems to be listening or observing the interaction.",13,5,38.4615384615385,0,-0.166666666666667,0,0,-0.25,0,NA,-0.25,NA,-1,NA,-0.25,NA,2,3,1,1,2,1,0,2,0,1,0,2,0,0.166666666666667
"P005701","religious",6,"Female","The woman in the green dress stands near the man in the dark outfit. She raises her hand, possibly in a gesture of greeting or acknowledgment. Her expression is calm, and she appears to be part of the group's interaction.",15,7,46.6666666666667,-1,0,NA,-1,0,0,NA,0,NA,NA,NA,0,NA,1,3,0,1,2,1,0,1,0,0,0,1,0,-1
"P005701","religious",7,"Female","The woman in the brown robe stands to the far right, facing the seated woman. Her posture is upright, and she appears to be observing the scene with a neutral expression.",13,8,61.5384615384615,0.333333333333333,0.5,0,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,2,1,0,0,0,0,0,0,0,0,-0.166666666666667
"P000830","religious",1,"Male","The central male figure is seated, leaning slightly forward with his hands clasped together. His gaze is directed downward, and his facial expression appears contemplative and serene. He exudes an aura of authority and dominance.",19,9,47.3684210526316,0,1,0,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,2,1,0,1,1,3,0,0,0,0,0,0,-1
"P000830","religious",2,"Female","The female figure, dressed in gold, is kneeling before the central male figure. Her posture is one of reverence and submission, with her head bowed and hands resting on the ground. Her gaze is directed upward, and her expression is one of devotion and humility.",21,12,57.1428571428571,0.333333333333333,0.75,0.5,0,0.75,NA,1,NA,NA,NA,NA,NA,NA,3,2,2,1,2,0,2,0,0,0,0,0,0,-0.416666666666667
"P000830","religious",3,"Male","The male figure to the right of the central figure is standing with his back turned to the viewer. He wears a white robe and appears to be in a position of leadership or authority, as he faces the central figure.",12,8,66.6666666666667,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,4,0,0,0,0,0,0,NA
"P000830","religious",4,"Male","The male figure to the left of the central figure is also standing with his back turned to the viewer. He is wearing dark robes and appears to be observing the scene with a serious expression.",13,7,53.8461538461538,-0.5,1,0,-1,1,NA,1,NA,-1,NA,NA,NA,NA,2,1,1,1,1,0,1,0,1,0,0,0,0,-1.5
"P000830","religious",5,"Male","The male figure in the foreground, to the left of the central figure, is standing with his hands clasped behind his back. He is wearing dark robes and appears to be in a position of authority, as he looks towards the central figure.",14,7,50,-1,1,NA,-1,1,NA,1,NA,-1,NA,NA,NA,NA,1,1,0,1,1,0,3,0,1,0,0,0,0,-2
"P000830","religious",6,"Male","The male figure in the background, to the right of the central figure, is standing with his hands clasped in front of him. He is wearing dark robes and appears to be observing the scene with a serious expression.",14,7,50,-0.5,1,0,-1,1,NA,1,NA,-1,NA,NA,NA,NA,2,1,1,1,1,0,1,0,1,0,0,0,0,-1.5
"P000830","religious",7,"Male","The male figure in the background, to the left of the central figure, is standing with his hands clasped in front of him. He is wearing dark robes and appears to be observing the scene with a serious expression.",15,7,46.6666666666667,-0.5,1,0,-1,1,NA,1,NA,-1,NA,NA,NA,NA,2,1,1,1,1,0,1,0,1,0,0,0,0,-1.5
"P000830","religious",8,"Male","The male figure in the background, to the right of the central figure, is standing with his hands clasped in front of him. He is wearing dark robes and appears to be observing the scene with a serious expression.",14,7,50,-0.5,1,0,-1,1,NA,1,NA,-1,NA,NA,NA,NA,2,1,1,1,1,0,1,0,1,0,0,0,0,-1.5
"P000830","religious",9,"Male","The male figure in the background, to the left of the central figure, is standing with his hands clasped in front of him. He is wearing dark robes and appears to be observing the scene with a serious expression.",15,7,46.6666666666667,-0.5,1,0,-1,1,NA,1,NA,-1,NA,NA,NA,NA,2,1,1,1,1,0,1,0,1,0,0,0,0,-1.5
"P000830","religious",10,"Male","The male figure in the background, to the right of the central figure, is standing with his hands clasped in front of him. He is wearing dark robes and appears to be observing the scene with a serious expression.",14,7,50,-0.5,1,0,-1,1,NA,1,NA,-1,NA,NA,NA,NA,2,1,1,1,1,0,1,0,1,0,0,0,0,-1.5
"P000536","religious",1,"Female","The woman is seated with her body slightly leaning forward, cradling two infants in her lap. Her gaze is directed downward towards the infants, and her facial expression appears serene and gentle. She appears nurturing and passive, as she is focused on the care of the infants.",19,11,57.8947368421053,0.75,0,0.75,1,1,0,NA,NA,NA,NA,NA,NA,NA,4,2,4,1,1,2,0,0,0,0,0,0,0,0.75
"P000536","religious",2,"Male","The first infant is lying on its back, partially covered by a white cloth. The infant's gaze is directed towards the woman, and it appears calm and peaceful.",12,6,50,1,-0.5,NA,1,NA,-0.5,NA,NA,NA,NA,NA,NA,NA,1,2,0,1,0,2,0,0,0,0,0,0,0,1.5
"P000536","religious",3,"Male","The second infant is also lying on its back, partially covered by a white cloth. This infant is positioned closer to the woman's chest and appears to be nursing. Its gaze is directed towards the woman, and it looks content and secure.",16,7,43.75,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,NA
"P008153","religious",1,"Male","The male figure stands with one leg slightly bent and the other extended, holding a flagpole with a white flag that has red stripes. His gaze is directed upwards towards the female figure, and his facial expression appears serene and contemplative. He appears dominant and authoritative, as he is positioned higher and more prominently in the composition.",25,12,48,0,1,0,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,2,1,0,1,1,2,0,0,0,0,0,0,-1
"P008153","religious",2,"Female","The female figure is kneeling with her hands raised in a gesture of prayer or reverence. Her gaze is directed upwards towards the male figure, and her facial expression is one of devotion and humility. She appears submissive and passive, as she is kneeling and looking up at the male figure.",18,11,61.1111111111111,0.5,-0.333333333333333,0.5,NA,1,-1,NA,1,NA,NA,NA,NA,1,2,3,2,0,1,2,0,1,0,0,0,0,1,0.833333333333333
"P007875","religious",1,"Female","The central female figure is seated on a cloud, her body slightly turned to the left, with her hands clasped together in prayer. Her gaze is directed upwards towards the heavens, where a radiant light emanates from a figure above. She appears serene and reverent, exuding a sense of peace and authority.",23,12,52.1739130434783,0.75,0.666666666666667,0.5,1,1,0,1,1,NA,NA,1,NA,1,4,3,2,2,2,1,2,1,0,0,1,0,1,0.0833333333333334
"P007875","religious",2,"Male","The male figure on the right side of the painting stands with his hands clasped together, his gaze directed towards the central female figure. He wears a long robe and appears to be in a state of contemplation or reverence, suggesting a position of respect and submission.",19,11,57.8947368421053,0.5,1,0,1,1,-1,1,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,3,0,0,0,0,0,0,-0.5
"P007875","religious",3,"Male","The male figure on the far left is kneeling, his hands resting on a book or scroll. His gaze is directed towards the central female figure, indicating a posture of devotion and submission.",16,7,43.75,0.5,0.75,1,0,0.75,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,1,2,0,1,0,0,0,0,0,0,-0.25
"P007875","religious",4,"Male","The male figure in the center-right is standing with one hand raised, as if gesturing or speaking. His gaze is directed towards the central female figure, suggesting an active role in the scene, possibly as a leader or speaker.",18,11,61.1111111111111,0.5,1,0.5,NA,1,1,1,0,NA,NA,NA,0,NA,2,3,2,0,2,1,2,1,0,0,0,1,0,-0.5
"P007875","religious",5,"Male","The male figure on the far right is standing with his hands clasped together, his gaze directed towards the central female figure. He appears to be in a state of reverence and submission.",12,6,50,0,1,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,1,0,0,0,0,0,0,-1
"P007875","religious",6,"Male","The male figure in the center-left is standing with his hands resting on a book or scroll. His gaze is directed towards the central female figure, indicating a posture of devotion and submission.",17,8,47.0588235294118,0.5,0.75,1,0,0.75,NA,1,0,NA,NA,NA,0,NA,2,2,1,1,2,0,1,1,0,0,0,1,0,-0.25
"P007875","religious",7,"Male","The male figure in the center is standing with his hands clasped together, his gaze directed towards the central female figure. He appears to be in a state of reverence and submission.",13,7,53.8461538461538,0,1,0,NA,1,NA,1,0,NA,NA,NA,0,NA,1,1,1,0,1,0,1,1,0,0,0,1,0,-1
"P007875","religious",8,"Male","The male figure on the far left is kneeling, his hands resting on a book or scroll. His gaze is directed towards the central female figure, indicating a posture of devotion and submission.",16,7,43.75,0.5,0.75,1,0,0.75,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,1,2,0,1,0,0,0,0,0,0,-0.25
"P007875","religious",9,"Male","The male figure in the center is standing with his hands clasped together, his gaze directed towards the central female figure. He appears to be in a state of reverence and submission.",13,7,53.8461538461538,0,1,0,NA,1,NA,1,0,NA,NA,NA,0,NA,1,1,1,0,1,0,1,1,0,0,0,1,0,-1
"P007875","religious",10,"Male","The male figure on the far right is standing with his hands clasped together, his gaze directed towards the central female figure. He appears to be in a state of reverence and submission.",12,6,50,0,1,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,1,0,0,0,0,0,0,-1
"P007875","religious",11,"Male","The male figure in the center is standing with his hands clasped together, his gaze directed towards the central female figure. He",10,5,50,NA,1,NA,NA,1,NA,1,0,NA,NA,NA,0,NA,0,1,0,0,1,0,1,1,0,0,0,1,0,NA
"P003409","secular",1,"Male","The main figure is depicted standing with arms crossed, holding a sword in one hand. The gaze is directed slightly to the left of the viewer, giving an impression of confidence and authority. The facial expression appears serious and composed, suggesting dominance and a sense of purpose. The posture and attire convey a sense of authority and readiness for action.",29,15,51.7241379310345,0.5,0.944444444444444,1,0,0.875,1,0.833333333333333,NA,NA,NA,NA,NA,NA,2,9,1,1,4,5,3,0,0,0,0,0,0,-0.444444444444444
"P002276","secular",1,"Female","The woman is seated with her left arm resting on a red draped fabric, while her right hand is placed gently on her lap. She gazes directly at the viewer with a composed and serene facial expression. Her posture suggests a sense of calm authority and confidence. The way she holds herself indicates dominance and a nurturing presence.",27,17,62.962962962963,0.5,0.785714285714286,0.666666666666667,0,0.833333333333333,0.75,1,1,NA,NA,NA,NA,1,4,7,3,1,3,4,2,1,0,0,0,0,1,-0.285714285714286
"P005823","secular",1,"Female","The female figure is depicted in mid-flight, her left arm extended upwards with a hand gesture that suggests she is guiding or leading. Her right arm is bent at the elbow, holding the hand of a child. She wears a flowing, orange dress with a green sash that trails behind her. Her gaze is directed towards the child, and her facial expression appears serene and gentle. She exudes a sense of dominance and nurturing, actively guiding the child through the air.",37,14,37.8378378378378,0.75,0.6,0.75,NA,0.5,1,1,0,NA,NA,NA,0,NA,4,5,4,0,4,1,1,1,0,0,0,1,0,0.15
"P005823","secular",2,"Male","The child is depicted as a small, nude figure with a light complexion. The child's arms are outstretched, mirroring the pose of the adult figure. The child's gaze is directed towards the adult, appearing trusting and dependent. The child's posture suggests a sense of innocence and vulnerability, making them appear passive and submissive within the scene.",24,16,66.6666666666667,0.333333333333333,-0.3125,0.666666666666667,0,0.375,-1,NA,NA,NA,NA,NA,NA,NA,6,8,3,3,4,4,0,0,0,0,0,0,0,0.645833333333333
"P000401","secular",1,"Male","The figure is seated with one hand resting on the armrest of a chair, while the other hand is placed on their lap. They are looking directly at the viewer with a calm and composed facial expression. The posture suggests a sense of authority and dominance, as the figure appears confident and in control.",20,13,65,0.5,0.759259259259259,1,0,0.875,0.666666666666667,0.777777777777778,NA,NA,NA,NA,NA,NA,2,9,1,1,4,5,3,0,0,0,0,0,0,-0.259259259259259
"P004802","secular",1,"Male","The central male figure is mounted on a horse, leaning slightly forward with a determined expression. His gaze is directed towards the right side of the painting, suggesting he is focused on something beyond the scene. He appears dominant and authoritative, commanding attention as the focal point of the composition.",21,11,52.3809523809524,0.5,1,0.5,NA,1,1,1,NA,NA,NA,NA,NA,NA,2,5,2,0,3,3,3,0,0,0,0,0,0,-0.5
"P004802","secular",2,"Male","This male figure is also mounted on a horse, positioned to the left of the central figure. He is slightly turned towards the central figure, indicating engagement in the activity. His posture is upright, and his expression seems attentive and alert. He appears active and engaged in the scene.",19,12,63.1578947368421,0.5,0.9,0.5,0.5,0.75,1,1,NA,NA,NA,NA,NA,NA,4,5,2,2,2,3,1,0,0,0,0,0,0,-0.4
