cat_no,context,figure_num,gender,qualifier,descriptor_text,descriptor_length,word_count
P002917,religious,1,Female,,"The woman is seated with her body slightly turned towards the man, her gaze directed at him with a calm and composed expression. Her posture suggests she is engaged in conversation but not overly assertive. She appears to be passive and receptive.",247,42
P002917,religious,2,Male,,"The man stands with his body angled towards the woman, his gaze fixed on her with an attentive and possibly curious expression. His posture indicates he is actively involved in the interaction, suggesting he may be dominant or authoritative in this scene.",255,42
P000129,religious,1,Male,,"The central figure is shirtless, with his right arm bent at the elbow and his hand resting on his hip. His gaze is directed downward, and his facial expression appears contemplative and somewhat pensive. He seems to be in a passive state, possibly reflecting or enduring a moment of introspection.",297,50
P000129,religious,2,Male,,"The second male figure is partially obscured by the central figure but appears to be supporting him from behind. His gaze is directed toward the central figure, and his facial expression suggests concern or attentiveness. This figure appears to be dominant and nurturing, providing support to the central figure.",312,49
P000129,religious,3,Male,,"The third male figure is positioned to the left side of the painting. His head is slightly tilted, and he looks downward with a thoughtful expression. His posture is relaxed, and he does not seem to be actively engaging with the central figure. This figure appears passive and reflective.",288,49
P000082,religious,1,Male,,"The male figure is reclining on a rock, his body partially draped with a flowing cloth that covers his lower torso. His head rests on one hand, while the other hand holds a small object, possibly a piece of paper or a scroll. He gazes off to the side with a contemplative and somewhat melancholic expression. The figure appears passive and reflective, suggesting a moment of introspection or rest.",397,69
P002643,religious,1,Female,,"The woman is seated with her legs crossed, holding the baby close to her chest. Her gaze is directed downward, and her facial expression appears serene and gentle. She appears nurturing and dominant over the child, as she holds him securely.",241,41
P002643,religious,2,Male,,"The baby is held close to the woman's chest, looking down at his feet. His posture is relaxed, and he appears passive and dependent on the woman for care.",154,29
P003122,religious,1,Male,,"The male figure is seated with his head bowed slightly downward, his hands resting on his knees. His gaze is directed downward, and his facial expression appears contemplative and serene. He seems to be in a state of deep thought or prayer, suggesting a submissive and passive demeanor.",286,48
P003122,religious,2,Female,,"The female figure, an angel, is positioned behind the male figure. She has her wings spread wide, and her gaze is directed downward towards the male figure. Her facial expression is gentle and nurturing, with a slight smile. The angel's posture suggests she is dominant yet protective, providing a sense of comfort and guidance to the male figure.",347,58
P001093,religious,1,Male,,"The figure is depicted in profile, facing to the right. They are wearing a loose, flowing robe that drapes over their shoulders and chest. The individual's head is slightly tilted downward, and their gaze is directed downwards towards their hand, which holds a small object. Their facial expression appears contemplative and focused, with a hint of seriousness. The posture suggests a sense of introspection or concentration, and the overall impression is one of quiet authority and dominance.",493,77
P003345,religious,1,Male,,"The man is kneeling with his head bowed, hands clasped together in prayer. His gaze is directed downward, and his facial expression appears serene and contemplative. He appears submissive and passive.",200,31
P003345,religious,2,Female,,"The woman stands beside the kneeling man, her hand gently placed on his shoulder. She is barefoot, wearing a flowing yellow dress with a blue undergarment. Her gaze is directed towards the man, and her facial expression is calm and gentle. She appears nurturing and authoritative.",280,46
P003345,religious,3,Male,,"The man is standing upright, leaning slightly forward with one hand resting on the shoulder of the kneeling man. His gaze is directed towards the kneeling man, and his facial expression is serious and focused. He appears dominant and active.",241,40
P003345,religious,4,Female,,"The angel is depicted with wings spread wide, hovering above the scene. The angel's gaze is directed towards the kneeling man, and her facial expression is serene and benevolent. She appears nurturing and authoritative.",219,34
P003345,religious,5,Male,,"The man is seated on the ground, with his hands raised in a gesture of prayer or supplication. His gaze is directed upwards, and his facial expression is one of reverence and devotion. He appears submissive and passive.",219,38
P003345,religious,6,Male,,"The man is seated on the ground, with his hands resting on his knees. His gaze is directed downwards, and his facial expression is one of contemplation and peace. He appears passive and reflective.",197,34
P003345,religious,7,Male,,"The man is seated on the ground, with his hands resting on his knees. His gaze is directed downwards, and his facial expression is one of contemplation and peace. He appears passive and reflective.",197,34
P005701,religious,1,Female,,"The woman is seated in a chair with her hands raised in a gesture of greeting or blessing. She looks directly at the child, her expression gentle and serene, suggesting a nurturing and authoritative presence.",208,35
P005701,religious,2,Female,,"The woman stands to the left, facing away from the central scene. Her posture is upright, and she appears to be observing the interaction between the seated woman and the child. Her expression is neutral, and she seems passive in this moment.",242,42
P005701,religious,3,Female,,"The woman is kneeling before the seated woman, holding the child's hand. She is dressed in a vibrant yellow gown and has a red and white striped sleeve. Her gaze is directed towards the child, and her posture suggests she is actively engaged in the interaction, possibly offering support or comfort.",299,51
P005701,religious,4,Male,,"The man stands to the right of the seated woman, raising his hand as if to speak or gesture. He wears a dark outfit with a high collar and appears to be addressing the group, indicating an active role in the scene.",214,42
P005701,religious,5,Male,,"The man is partially obscured by the woman in the green dress but appears to be standing close to her. His posture is relaxed, and he seems to be listening or observing the interaction.",185,34
P005701,religious,6,Female,,"The woman in the green dress stands near the man in the dark outfit. She raises her hand, possibly in a gesture of greeting or acknowledgment. Her expression is calm, and she appears to be part of the group's interaction.",221,40
P005701,religious,7,Female,,"The woman in the brown robe stands to the far right, facing the seated woman. Her posture is upright, and she appears to be observing the scene with a neutral expression.",170,31
P000830,religious,1,Male,,"The central male figure is seated, leaning slightly forward with his hands clasped together. His gaze is directed downward, and his facial expression appears contemplative and serene. He exudes an aura of authority and dominance.",229,35
P000830,religious,2,Female,,"The female figure, dressed in gold, is kneeling before the central male figure. Her posture is one of reverence and submission, with her head bowed and hands resting on the ground. Her gaze is directed upward, and her expression is one of devotion and humility.",261,45
P000830,religious,3,Male,,"The male figure to the right of the central figure is standing with his back turned to the viewer. He wears a white robe and appears to be in a position of leadership or authority, as he faces the central figure.",212,41
P000830,religious,4,Male,,The male figure to the left of the central figure is also standing with his back turned to the viewer. He is wearing dark robes and appears to be observing the scene with a serious expression.,192,36
P000830,religious,5,Male,,"The male figure in the foreground, to the left of the central figure, is standing with his hands clasped behind his back. He is wearing dark robes and appears to be in a position of authority, as he looks towards the central figure.",232,43
P000830,religious,6,Male,,"The male figure in the background, to the right of the central figure, is standing with his hands clasped in front of him. He is wearing dark robes and appears to be observing the scene with a serious expression.",212,39
P000830,religious,7,Male,,"The male figure in the background, to the left of the central figure, is standing with his hands clasped in front of him. He is wearing dark robes and appears to be observing the scene with a serious expression.",211,39
P000830,religious,8,Male,,"The male figure in the background, to the right of the central figure, is standing with his hands clasped in front of him. He is wearing dark robes and appears to be observing the scene with a serious expression.",212,39
P000830,religious,9,Male,,"The male figure in the background, to the left of the central figure, is standing with his hands clasped in front of him. He is wearing dark robes and appears to be observing the scene with a serious expression.",211,39
P000830,religious,10,Male,,"The male figure in the background, to the right of the central figure, is standing with his hands clasped in front of him. He is wearing dark robes and appears to be observing the scene with a serious expression.",212,39
P000536,religious,1,Female,,"The woman is seated with her body slightly leaning forward, cradling two infants in her lap. Her gaze is directed downward towards the infants, and her facial expression appears serene and gentle. She appears nurturing and passive, as she is focused on the care of the infants.",277,47
P000536,religious,2,Male,Infant,"The first infant is lying on its back, partially covered by a white cloth. The infant's gaze is directed towards the woman, and it appears calm and peaceful.",157,28
P000536,religious,3,Male,Infant,"The second infant is also lying on its back, partially covered by a white cloth. This infant is positioned closer to the woman's chest and appears to be nursing. Its gaze is directed towards the woman, and it looks content and secure.",234,42
P008153,religious,1,Male,,"The male figure stands with one leg slightly bent and the other extended, holding a flagpole with a white flag that has red stripes. His gaze is directed upwards towards the female figure, and his facial expression appears serene and contemplative. He appears dominant and authoritative, as he is positioned higher and more prominently in the composition.",355,57
P008153,religious,2,Female,,"The female figure is kneeling with her hands raised in a gesture of prayer or reverence. Her gaze is directed upwards towards the male figure, and her facial expression is one of devotion and humility. She appears submissive and passive, as she is kneeling and looking up at the male figure.",291,51
P007875,religious,1,Female,,"The central female figure is seated on a cloud, her body slightly turned to the left, with her hands clasped together in prayer. Her gaze is directed upwards towards the heavens, where a radiant light emanates from a figure above. She appears serene and reverent, exuding a sense of peace and authority.",303,52
P007875,religious,2,Male,,"The male figure on the right side of the painting stands with his hands clasped together, his gaze directed towards the central female figure. He wears a long robe and appears to be in a state of contemplation or reverence, suggesting a position of respect and submission.",272,47
P007875,religious,3,Male,,"The male figure on the far left is kneeling, his hands resting on a book or scroll. His gaze is directed towards the central female figure, indicating a posture of devotion and submission.",188,33
P007875,religious,4,Male,,"The male figure in the center-right is standing with one hand raised, as if gesturing or speaking. His gaze is directed towards the central female figure, suggesting an active role in the scene, possibly as a leader or speaker.",227,39
P007875,religious,5,Male,,"The male figure on the far right is standing with his hands clasped together, his gaze directed towards the central female figure. He appears to be in a state of reverence and submission.",187,33
P007875,religious,6,Male,,"The male figure in the center-left is standing with his hands resting on a book or scroll. His gaze is directed towards the central female figure, indicating a posture of devotion and submission.",195,33
P007875,religious,7,Male,,"The male figure in the center is standing with his hands clasped together, his gaze directed towards the central female figure. He appears to be in a state of reverence and submission.",184,32
P007875,religious,8,Male,,"The male figure on the far left is kneeling, his hands resting on a book or scroll. His gaze is directed towards the central female figure, indicating a posture of devotion and submission.",188,33
P007875,religious,9,Male,,"The male figure in the center is standing with his hands clasped together, his gaze directed towards the central female figure. He appears to be in a state of reverence and submission.",184,32
P007875,religious,10,Male,,"The male figure on the far right is standing with his hands clasped together, his gaze directed towards the central female figure. He appears to be in a state of reverence and submission.",187,33
P007875,religious,11,Male,,"The male figure in the center is standing with his hands clasped together, his gaze directed towards the central female figure. He",130,22
P003409,secular,1,Male,,"The main figure is depicted standing with arms crossed, holding a sword in one hand. The gaze is directed slightly to the left of the viewer, giving an impression of confidence and authority. The facial expression appears serious and composed, suggesting dominance and a sense of purpose. The posture and attire convey a sense of authority and readiness for action.",365,60
P002276,secular,1,Female,,"The woman is seated with her left arm resting on a red draped fabric, while her right hand is placed gently on her lap. She gazes directly at the viewer with a composed and serene facial expression. Her posture suggests a sense of calm authority and confidence. The way she holds herself indicates dominance and a nurturing presence.",333,58
P005823,secular,1,Female,,"The female figure is depicted in mid-flight, her left arm extended upwards with a hand gesture that suggests she is guiding or leading. Her right arm is bent at the elbow, holding the hand of a child. She wears a flowing, orange dress with a green sash that trails behind her. Her gaze is directed towards the child, and her facial expression appears serene and gentle. She exudes a sense of dominance and nurturing, actively guiding the child through the air.",460,81
P005823,secular,2,Male,Child,"The child is depicted as a small, nude figure with a light complexion. The child's arms are outstretched, mirroring the pose of the adult figure. The child's gaze is directed towards the adult, appearing trusting and dependent. The child's posture suggests a sense of innocence and vulnerability, making them appear passive and submissive within the scene.",356,56
P000401,secular,1,Male,,"The figure is seated with one hand resting on the armrest of a chair, while the other hand is placed on their lap. They are looking directly at the viewer with a calm and composed facial expression. The posture suggests a sense of authority and dominance, as the figure appears confident and in control.",303,54
P004802,secular,1,Male,,"The central male figure is mounted on a horse, leaning slightly forward with a determined expression. His gaze is directed towards the right side of the painting, suggesting he is focused on something beyond the scene. He appears dominant and authoritative, commanding attention as the focal point of the composition.",317,50
P004802,secular,2,Male,,"This male figure is also mounted on a horse, positioned to the left of the central figure. He is slightly turned towards the central figure, indicating engagement in the activity. His posture is upright, and his expression seems attentive and alert. He appears active and engaged in the scene.",293,49
P004802,secular,3,Female,,"A female figure is seated on a horse to the right of the central figure. She is looking towards the central figure with a calm and composed expression. Her posture is relaxed yet attentive, suggesting she is part of the group but not leading. She appears passive and supportive.",278,49
P004802,secular,4,Male,,"Another male figure is seen in the foreground, slightly to the left of the central figure. He is mounted on a horse and appears to be in motion, possibly chasing or pursuing something. His posture is dynamic, with one arm extended forward, indicating action. His expression is focused and intense, suggesting he is actively involved in the scene.",346,58
P004802,secular,5,Male,,"A male figure is seen further back in the scene, near the center. He is mounted on a horse and appears to be observing the activity around him. His posture is relaxed, and his gaze is directed towards the central figure, suggesting he is part of the group but not actively participating in the main action. He appears passive and observant.",340,61
P004802,secular,6,Male,,"This male figure is positioned further back in the scene, near the center-right. He is mounted on a horse and appears to be looking towards the central figure. His posture is upright, and his expression is calm and composed. He appears passive and supportive.",259,44
P004802,secular,7,Male,,"A male figure is seen further back in the scene, near the center-left. He is mounted on a horse and appears to be looking towards the central figure. His posture is upright, and his expression is calm and composed. He appears passive and supportive.",249,44
P004802,secular,8,Male,,"This male figure is positioned further back in the scene, near the center-right. He is mounted on a horse and appears to be looking towards the central figure. His posture is upright, and his expression is calm and composed. He appears passive and supportive.",259,44
P004802,secular,9,Male,,A male figure,13,3
P004472,secular,1,Female,,"The female figure is depicted in mid-flight, her arms outstretched as if she is holding onto a flowing white cloth that billows behind her. Her gaze is directed upwards and slightly to the left, suggesting a sense of aspiration or contemplation. She appears confident and dominant, with a nurturing yet authoritative presence, as she seems to be guiding or protecting the smaller figure below.",393,64
P004472,secular,2,Male,,"The male figure is also in flight, positioned beneath the female figure. He is holding a book and appears to be reading or studying it intently. His gaze is directed downwards towards the book, indicating focus and concentration. He appears passive and subordinate compared to the female figure, as he is being carried along by her and is engaged in an activity that is secondary to the main action of the scene.",412,72
P000768,secular,1,Female,,"The woman is standing upright, holding a basket, and appears to be serving food. Her posture is confident and she looks directly at the viewer with a warm, inviting expression. She seems dominant and nurturing.",210,35
P000768,secular,2,Male,,"The man is seated on the ground, leaning back slightly, and appears relaxed. He is looking towards the woman with a content expression. His posture suggests he is passive and submissive.",186,31
P000768,secular,3,Female,,"The woman is lying down on a blanket, leaning back with her legs up, and appears to be enjoying herself. She is looking towards the man with a playful expression. Her posture suggests she is active and engaging.",211,38
P000768,secular,4,Female,,The woman is standing and appears to be serving food from a basket. She is looking towards the man with a friendly expression. Her posture suggests she is dominant and nurturing.,178,31
P000768,secular,5,Male,,"The man is sitting upright, leaning forward slightly, and appears attentive. He is looking towards the woman with a curious expression. His posture suggests he is active and engaged.",182,29
P000768,secular,6,Female,,"The woman is sitting on the ground, leaning back with her legs up, and appears relaxed. She is looking towards the man with a content expression. Her posture suggests she is passive and submissive.",197,34
P000768,secular,7,Male,,"The man is sitting upright, leaning forward slightly, and appears attentive. He is looking towards the woman with a curious expression. His posture suggests he is active and engaged.",182,29
P000768,secular,8,Female,,The woman is standing and appears to be serving food from a basket. She is looking towards the man with a friendly expression. Her posture suggests she is dominant and nurturing.,178,31
P000768,secular,9,Male,,"The man is sitting upright, leaning back slightly, and appears relaxed. He is looking towards the woman with a content expression. His posture suggests he is passive and submissive.",181,29
P000768,secular,10,Female,,The woman is standing and appears to be serving food from a basket. She is looking towards the man with a friendly expression. Her posture suggests she is dominant and nurturing.,178,31
P000768,secular,11,Male,,"The man is sitting upright, leaning forward slightly, and appears attentive. He is looking towards the woman with a curious expression. His posture suggests he is active and engaged.",182,29
P000768,secular,12,Female,,The woman is standing and appears to be serving food from a basket. She is looking towards the man with a friendly expression. Her posture suggests she is dominant and nurturing.,178,31
P002918,secular,1,Male,,"The main figure is seated on an ornate chair with one hand resting on the armrest and the other holding a sword. The figure's posture is upright and confident, suggesting dominance and authority. The gaze is directed slightly to the left, giving a sense of contemplation or focus. The facial expression appears calm and composed, with a slight smile that conveys confidence and ease. The overall impression is one of authority and control.",439,73
P002303,secular,1,Female,,"The woman stands with her hands clasped together, gazing towards the right side of the painting. Her posture is upright and composed, suggesting a sense of calmness and perhaps contemplation. She appears passive and somewhat submissive.",236,36
P002303,secular,2,Male,,"The man sits on the ground, leaning slightly forward with his legs crossed. He holds a stick or staff in his left hand, which rests on the ground. His gaze is directed towards the woman, and he appears to be in a relaxed but attentive stance. He seems to be in a supportive role, possibly indicating a nurturing or subordinate position.",336,61
P002303,secular,3,Female,,"The seated woman is positioned near the center of the painting, leaning back slightly with her arms resting on her knees. Her gaze is directed towards the man, and she appears to be in a relaxed state, possibly engaged in conversation or observation. She seems passive and somewhat submissive.",293,49
P002303,secular,4,Male,,"The standing man is positioned to the left of the painting, facing the seated woman. He has one arm resting on his hip and the other holding a stick or staff. His posture suggests confidence and authority, and he appears to be the dominant figure in the scene.",260,48
P002303,secular,5,Female,,"The woman on the far right is sitting on a rock by the water's edge. She is looking towards the man who is standing nearby. Her posture is relaxed, and she appears passive and somewhat submissive.",196,36
P002303,secular,6,Male,,"The man on the far right is standing near the water's edge, facing the seated woman. He appears to be in a relaxed stance, with one hand resting on his hip and the other holding a stick or staff. His gaze is directed towards the seated woman, and he seems to be in a supportive role.",283,56
P002303,secular,7,Female,,"The woman on the far left is standing with her hands clasped together, looking towards the right side of the painting. Her posture is upright and composed, suggesting a sense of calmness and perhaps contemplation. She appears passive and somewhat submissive.",258,41
P002303,secular,8,Male,,"The man on the far left is standing with his hands behind his back, looking towards the seated woman. His posture is upright and confident, suggesting a sense of authority. He appears to be the dominant figure in the scene.",223,40
P002862,secular,1,Female,,"The main figure is seated with one arm extended outward, holding what appears to be a small object or piece of fabric. The other arm rests gently on her lap. Her gaze is directed slightly to the side, not directly at the viewer, giving a sense of contemplation or reserve. She wears an elaborate dress with a voluminous skirt adorned with gold dots and a lace-trimmed bodice. Her posture suggests a sense of calm authority rather than dominance or passivity. The overall impression is one of quiet dignity and composure.",520,90
P002349,secular,1,Male,,"The boy is crouched low to the ground, leaning forward with his arms extended upwards towards the kite. His gaze is directed upwards, focused intently on the kite flying high in the sky. His facial expression appears determined and slightly strained, suggesting effort and concentration. He seems active and dominant in his engagement with the kite.",349,56
P002349,secular,2,Male,,"The man standing behind the boy has his hands raised, appearing to assist or guide the boy as he flies the kite. His gaze is also directed upwards, following the kite's flight path. His posture suggests he is actively involved in the activity but not as physically engaged as the boy. He appears supportive and nurturing.",321,56
P002349,secular,3,Female,,"The woman standing near the man has her hands clasped together and her gaze directed downwards, possibly observing something on the ground. Her posture is relaxed and passive compared to the other figures. She does not seem to be directly participating in the kite-flying activity.",281,45
P002349,secular,4,Male,,"The man in the red outfit is standing upright, facing the boy who is flying the kite. His hands are positioned as if he is about to assist or guide the boy. His gaze is directed towards the boy, indicating a supportive role. His posture suggests he is actively involved but not as physically engaged as the boy.",311,58
P002349,secular,5,Male,,"The man in the blue outfit is standing further back, observing the scene. His hands are at his sides, and his gaze is directed towards the boy and the kite. His posture is relaxed and passive, suggesting he is a bystander rather than an active participant.",256,46
P002349,secular,6,Male,,"The man in the brown outfit is standing close to the woman, also observing the scene. His hands are at his sides, and his gaze is directed towards the boy and the kite. His posture is relaxed and passive, similar to the woman's, indicating he is a bystander.

All figures appear to be engaged in the activity of kite-flying, with varying levels of involvement and roles within the scene.",387,69
P007742,secular,1,Male,,"The individual is depicted from the shoulders up, wearing a light-colored coat with a dark cravat. The head is slightly tilted to the right, and the gaze is directed straight ahead, giving an impression of direct engagement with the viewer. The facial expression appears calm and composed, with a hint of seriousness. The posture suggests a sense of authority and dominance.",374,61
P003116,secular,1,Female,,"The woman is seated with her body slightly turned to the left, creating a sense of engagement with the viewer. Her gaze is directed straight ahead, conveying a composed and confident demeanor. The softness of her facial features and the gentle curve of her lips suggest a calm and serene expression. She appears dominant and authoritative, as indicated by the way she holds herself and the directness of her gaze.",413,70
P008360,secular,1,Male,,"The dog is positioned in the foreground, actively running towards the right side of the painting. Its body is low to the ground, with its tail slightly raised, indicating movement and alertness. The dog's gaze is directed forward, showing focus and determination. It appears dominant and active.",295,47
P008360,secular,2,Male,,"This dog is lying down in the background, partially obscured by foliage. Its body is relaxed, and it seems to be resting or observing the scene. The dog's gaze is directed towards the left side of the painting, suggesting a passive and observant demeanor. It appears submissive and passive.",290,49
P006219,secular,1,Male,,"The shepherd stands with his back slightly turned to the viewer, holding a staff in one hand. His posture is relaxed yet attentive, suggesting he is overseeing the flock. His gaze is directed towards the sheep, indicating a nurturing and authoritative stance. He appears dominant and active.",291,47
P006219,secular,2,Male,,"A second shepherd is seen in the distance, walking away from the viewer. His posture is upright, and his gaze is directed forward, suggesting he is focused on his task. He appears passive and less dominant compared to the first shepherd.",237,41
P006219,secular,3,Female,,"A woman is seated near the left side of the painting, tending to the sheep. Her posture is relaxed, and she appears to be engaged in a nurturing activity, possibly milking a sheep. She has a calm and content facial expression, indicating a passive and nurturing role.",267,47
